SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time,Days_Time1,Days_Time2,Days_Time3,Instructor
ARCH,183,Studio-Lab,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31571?crseNumb=183,31571,Architecture Studio 1C,MR,09:00 am - 11:50 am,,,Stephanie C Feldman
ARCH,183,Studio-Lab,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31572?crseNumb=183,31572,Architecture Studio 1C,MR,09:00 am - 11:50 am,,,David A Beker
ARCH,183,Studio-Lab,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31573?crseNumb=183,31573,Architecture Studio 1C,MR,09:00 am - 11:50 am,,,Amy Cha
ARCH,183,Studio-Lab,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31666?crseNumb=183,31666,Architecture Studio 1C,MR,09:00 am - 11:50 am,,,Jennifer Hofer Jeffrey
ARCH,183,Studio-Lab,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34000?crseNumb=183,34000,Architecture Studio 1C,W,06:00 pm - 09:50 pm,,,Paul J Salvaggio
ARCH,192,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31857?crseNumb=192,31857,Studio 2-AE,MW,04:00 pm - 05:50 pm,,,STAFF
ARCH,192,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31667?crseNumb=192,31667,Studio 2-AE,MW,04:00 pm - 05:50 pm,,,Eugenia Victoria V Ellis
ARCH,213,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31574?crseNumb=213,31574,Architectural Representation III,W,09:00 am - 11:50 am,,,Marc L Krawitz
ARCH,213,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31575?crseNumb=213,31575,Architectural Representation III,W,09:00 am - 11:50 am,,,Mia E Rosensaft
ARCH,213,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/31945?crseNumb=213,31945,Architectural Representation III,W,09:00 am - 11:50 am,,,Jordan D Solomonic
ARCH,213,Studio-Lecture,Hybrid,130,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/34001?crseNumb=213,34001,Architectural Representation III,R,06:00 pm - 09:50 pm,,,Jordan D Solomonic
