SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time._,Days_Time.realName,Days_Time1._,Days_Time1.realName,Instructor
ACCT,116,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/10966?crseNumb=116,10966,Managerial Accounting Foundations,TR,Days _ Time,12:00 pm - 01:50 pm,Days _ Time1,Johnny J Lee
ACCT,116,Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11116?crseNumb=116,11116,Managerial Accounting Foundations,MW,Days _ Time,02:00 pm - 03:50 pm,Days _ Time1,Xin Dai
ACCT,116,Lecture,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12926?crseNumb=116,12926,Managerial Accounting Foundations,MW,Days _ Time,04:00 pm - 05:50 pm,Days _ Time1,Xin Dai
ACCT,321,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/10010?crseNumb=321,10010,Financial Reporting I,TR,Days _ Time,10:00 am - 11:50 am,Days _ Time1,Hiu Lam Choy
ACCT,321,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11228?crseNumb=321,11228,Financial Reporting I,TR,Days _ Time,02:00 pm - 03:50 pm,Days _ Time1,Hiu Lam Choy
ACCT,323,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/10697?crseNumb=323,10697,Financial Reporting III,TR,Days _ Time,10:00 am - 11:50 am,Days _ Time1,Maureen P Breen
ACCT,323,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11675?crseNumb=323,11675,Financial Reporting III,TR,Days _ Time,12:00 pm - 01:50 pm,Days _ Time1,Maureen P Breen
ACCT,329,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11229?crseNumb=329,11229,Advanced Accounting,TR,Days _ Time,02:00 pm - 03:50 pm,Days _ Time1,Stephen B Bates
ACCT,341,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12770?crseNumb=341,12770,Principles of Auditing,MW,Days _ Time,12:00 pm - 01:50 pm,Days _ Time1,Maureen P Breen
ACCT,341,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12013?crseNumb=341,12013,Principles of Auditing,MW,Days _ Time,02:00 pm - 03:50 pm,Days _ Time1,STAFF
ACCT,350,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15081?crseNumb=350,15081,Accounting Information Systems,TR,Days _ Time,10:00 am - 11:50 am,Days _ Time1,Johnny J Lee
ACCT,510,Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11551?crseNumb=510,11551,Essentials of Financial Reporting,W,Days _ Time,06:00 pm - 07:50 pm,Days _ Time1,Albert W DeRitis
ACCT,510,Lecture,Face To Face,690,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11553?crseNumb=510,11553,Essentials of Financial Reporting,W,Days _ Time,02:00 pm - 03:50 pm,Days _ Time1,Albert W DeRitis
ACCT,510,Lecture,Online,901,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11554?crseNumb=510,11554,Essentials of Financial Reporting,TBD,Days _ Time,TBD,Days _ Time1,Stephen B Bates
ACCT,665,Lecture,Online,901,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13473?crseNumb=665,13473,Financial Statement Analysis,TBD,Days _ Time,TBD,Days _ Time1,Stephen B Bates
ANIM,T380,Special Topics-Lecture,Remote Synchronous,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15530?crseNumb=T380,15530,Procedural Animation in Houdini,W,Days _ Time,03:00 pm - 05:50 pm,Days _ Time1,Eli Joteva
ACCT,912,Seminar,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15082?crseNumb=912,15082,Applied Research Methods in Accounting,T,Days _ Time,09:00 am - 11:50 am,Days _ Time1,Tony P Curatola
ARCH,107,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/11282?crseNumb=107,11282,Foundation Design I,R,Days _ Time,07:00 pm - 09:50 pm,Days _ Time1,Alina P Macneal
ARCH,141,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/10080?crseNumb=141,10080,Architecture and Society I,TR,Days _ Time,02:00 pm - 03:20 pm,Days _ Time1,STAFF
ARCH,141,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13018?crseNumb=141,13018,Architecture and Society I,W,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,STAFF
