SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time,Days_Time1,Days_Time2,Days_Time3,Instructor
VSST,321,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21631?crseNumb=321,21631,Screenprint I,MW,09:00 am - 11:50 am,"Mar 16, 2022","Final Exam:
01:00 pm - 03:00 pm",Josh M Zerangue
VSST,321,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/23012?crseNumb=321,23012,Screenprint I,MW,03:00 pm - 05:50 pm,"Mar 16, 2022","Final Exam:
01:00 pm - 03:00 pm",Susan M White
VSST,321,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/23211?crseNumb=321,23211,Screenprint I,MW,06:00 pm - 08:50 pm,,,Susan M White
VSST,325,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/23212?crseNumb=325,23212,Screenprint II,MW,12:00 pm - 02:50 pm,"Mar 16, 2022","Final Exam:
10:30 am - 12:30 pm",Josh M Zerangue
VSST,502,Lecture & Lab,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25325?crseNumb=502,25325,Space/Time I,W,02:00 pm - 05:50 pm,,,William J Mangold
WEST,100,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25168?crseNumb=100,25168,Introduction to Digital Design Tools,T,06:30 pm - 09:20 pm,,,Christine R Bailey
WEST,100,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25169?crseNumb=100,25169,Introduction to Digital Design Tools,W,06:00 pm - 08:50 pm,,,Christine R Bailey
WEST,100,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25170?crseNumb=100,25170,Introduction to Digital Design Tools,F,09:00 am - 11:50 am,"Mar 14, 2022","Final Exam:
01:00 pm - 03:00 pm",Eli W Robbins
WEST,100,Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25171?crseNumb=100,25171,Introduction to Digital Design Tools,F,12:00 pm - 02:50 pm,"Mar 15, 2022","Final Exam:
03:30 pm - 05:30 pm",Eli W Robbins
WEST,100,Lecture,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25172?crseNumb=100,25172,Introduction to Digital Design Tools,F,03:00 pm - 05:50 pm,"Mar 16, 2022","Final Exam:
10:30 am - 12:30 pm",Anna L Fowler
WEST,100,Lecture,Face To Face,006,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25342?crseNumb=100,25342,Introduction to Digital Design Tools,M,06:00 pm - 08:50 pm,,,Kayla E Velocci
WEST,107,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/22362?crseNumb=107,22362,Maker Workshop,T,09:30 am - 12:20 pm,"Mar 15, 2022","Final Exam:
10:30 am - 12:30 pm",Erik P Sundquist
WEST,107,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/23633?crseNumb=107,23633,Maker Workshop,R,09:30 am - 12:20 pm,"Mar 17, 2022","Final Exam:
10:30 am - 12:30 pm",Raja Y Schaar
WEST,107,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/26179?crseNumb=107,26179,Maker Workshop,F,09:00 am - 11:50 am,"Mar 18, 2022","Final Exam:
10:30 am - 12:30 pm",Erik P Sundquist
WEST,107,Studio-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/26180?crseNumb=107,26180,Maker Workshop,W,09:00 am - 11:50 am,"Mar 16, 2022","Final Exam:
10:30 am - 12:30 pm",Qil Rogers
WEST,T380,Special Topics,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25791?crseNumb=T380,25791,Design for Health and Wellness,W,02:00 pm - 03:50 pm,,,Jihyun Song
WEST,T380,Special Topics-Lab,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25815?crseNumb=T380,25815,Creative Interdisciplinary Team Research: Principles and Practice,W,05:30 pm - 08:20 pm,"Mar 18, 2022","Final Exam:
03:30 pm - 05:30 pm","Fraser F Fleming, Dee S Nicholas, Paul C Gondek"
WEST,T380,Special Topics,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25835?crseNumb=T380,25835,Food & Design,W,03:00 pm - 05:50 pm,"Mar 16, 2022","Final Exam:
03:30 pm - 05:30 pm",Alexandra A Schmidt-Ullrich
WEST,T380,Special Topics,Face To Face,006,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/26080?crseNumb=T380,26080,Contemporary Architecture,T,06:30 pm - 09:20 pm,,,Wolfram D Arendt
WEST,T480,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25632?crseNumb=T480,25632,Furniture Design,F,09:00 am - 12:50 pm,,,Harry J Haon
WEST,T480,Special Topics-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25642?crseNumb=T480,25642,Arch & Game Level Design Wkshp,M,06:00 pm - 08:50 pm,,,Jacklynn N Niemiec
WEST,T480,Special Topics-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25754?crseNumb=T480,25754,"Light, Body, Space",T,12:30 pm - 02:20 pm,,,Sara H McElroy
WEST,T480,Special Topics-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25825?crseNumb=T480,25825,Civic Engage & Particip Mthds,T,06:30 pm - 09:20 pm,,,"Susanna P Gilbertson, Andrew W Zitcer"
WEST,T480,Special Topics-Lecture,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25826?crseNumb=T480,25826,City of Systems,M,06:00 pm - 08:50 pm,,,Jason S Schupbach
WEST,T480,Special Topics,Face To Face,006,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25827?crseNumb=T480,25827,Spatial Reason Urban Arch Des,W,06:00 pm - 08:50 pm,,,Dustin T Fry
WEST,T480,Special Topics-Lecture,Face To Face,007,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25849?crseNumb=T480,25849,Furniture Design,TR,09:30 am - 11:20 am,,,Orlando Pelliccia
WMGD,220,Studio,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/22886?crseNumb=220,22886,Web Graphics I,TR,09:30 am - 12:20 pm,"Mar 15, 2022","Final Exam:
10:30 am - 12:30 pm",Josh G Gdovin
WMGD,220,Studio,Remote Synchronous,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/22887?crseNumb=220,22887,Web Graphics I,TR,06:30 pm - 09:20 pm,,,Josh G Gdovin
WMGD,220,Studio,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/22888?crseNumb=220,22888,Web Graphics I,TR,06:30 pm - 09:20 pm,,,Erin H Chan
WMGD,T380,Special Topics-Lecture,Remote Synchronous,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25319?crseNumb=T380,25319,Adv Web,TR,12:30 pm - 03:20 pm,"Mar 15, 2022","Final Exam:
01:00 pm - 03:00 pm",Josh G Gdovin
AFAS,230,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25821?crseNumb=230,25821,Silences in African History,TR,10:00 am - 11:50 am,,,Sonia Vaz Borges
AFAS,T380,Special Topics-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25552?crseNumb=T380,25552,"Black Noise: Fugitive Black Literature, Culture, and Thought",TR,09:30 am - 10:50 am,,,Jakeya Caruthers
AFAS,T480,Special Topics-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25822?crseNumb=T480,25822,Philadelphia's Black Doctors,T,03:00 pm - 05:50 pm,,,Sharrona H Pearl
ANTH,101,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20020?crseNumb=101,20020,Introduction to Cultural Diversity,TR,11:00 am - 12:20 pm,,,Brent A Luvaas
ANTH,101,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21733?crseNumb=101,21733,Introduction to Cultural Diversity,MWF,11:00 am - 11:50 am,"Mar 15, 2022","Final Exam:
01:00 pm - 03:00 pm",Gregory J Lang
ARBC,101,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21445?crseNumb=101,21445,Arabic I,MW,12:00 pm - 01:50 pm,,,Amel Mili
ARBC,101,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/24962?crseNumb=101,24962,Arabic I,MW,06:00 pm - 07:50 pm,,,Amel Mili
ARBC,102,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/21446?crseNumb=102,21446,Arabic II,MW,02:00 pm - 03:50 pm,,,Amel Mili
ARBC,201,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/24146?crseNumb=201,24146,Arabic IV,TR,06:00 pm - 07:50 pm,,,Amel Mili
AS-I,501,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/25752?crseNumb=501,25752,Creative Interdisciplinary Team Research: Principles and Practice,W,05:30 pm - 08:20 pm,"Mar 18, 2022","Final Exam:
03:30 pm - 05:30 pm","Fraser F Fleming, Dee S Nicholas, Paul C Gondek"
BIO,101,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20821?crseNumb=101,20821,"Applied Biological Diversity, Ecology & Evolution",MWF,12:00 pm - 12:50 pm,"Mar 16, 2022","Final Exam:
01:00 pm - 03:00 pm",Meshagae E Hunte-Brown
BIO,101,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20823?crseNumb=101,20823,"Applied Biological Diversity, Ecology & Evolution",MWF,01:00 pm - 01:50 pm,"Mar 16, 2022","Final Exam:
01:00 pm - 03:00 pm",Meshagae E Hunte-Brown
BIO,109,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20820?crseNumb=109,20820,"Biological Diversity, Ecology & Evolution",MWF,12:00 pm - 12:50 pm,"Mar 16, 2022","Final Exam:
01:00 pm - 03:00 pm",Meshagae E Hunte-Brown
BIO,109,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20822?crseNumb=109,20822,"Biological Diversity, Ecology & Evolution",MWF,01:00 pm - 01:50 pm,"Mar 16, 2022","Final Exam:
01:00 pm - 03:00 pm",Meshagae E Hunte-Brown
BIO,110,Lab,Face To Face,061,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20826?crseNumb=110,20826,"Biological Diversity, Ecology and Evolution Laboratory",W,01:00 pm - 02:50 pm,,,"Shrey Pradhan, Meshagae E Hunte-Brown"
BIO,110,Lab,Face To Face,062,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20824?crseNumb=110,20824,"Biological Diversity, Ecology and Evolution Laboratory",T,01:00 pm - 02:50 pm,,,"Elvisa Kina, Meshagae E Hunte-Brown"
BIO,110,Lab,Face To Face,063,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20825?crseNumb=110,20825,"Biological Diversity, Ecology and Evolution Laboratory",T,11:00 am - 12:50 pm,,,"Elvisa Kina, Meshagae E Hunte-Brown"
BIO,110,Lab,Face To Face,064,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/20937?crseNumb=110,20937,"Biological Diversity, Ecology and Evolution Laboratory",T,03:00 pm - 04:50 pm,,,"Shrey Pradhan, Meshagae E Hunte-Brown"
