SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time,Days_Time1,Days_Time2,Days_Time3,Instructor
AAML,610,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41326?crseNumb=610,41326,Financial Accounting in Arts and Cultural Orgs.,R,06:30 pm - 09:20 pm,,,Mary Jane Emery
AAML,610,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40967?crseNumb=610,40967,Financial Accounting in Arts and Cultural Orgs.,TBD,TBD,,,STAFF
AAML,660,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40968?crseNumb=660,40968,Technology Tools for Arts and Cultural Managers,W,06:00 pm - 08:50 pm,,,Jennifer D Dionisio
AAML,660,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41327?crseNumb=660,41327,Technology Tools for Arts and Cultural Managers,TBD,TBD,,,Jonathan D Hummel
AADM,753,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41884?crseNumb=753,41884,Visual Arts Organization Management,TBD,TBD,,,STAFF
AADM,755,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40836?crseNumb=755,40836,Community Cultural Planning,TBD,TBD,,,Thomas C Borrup
AADM,798,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40964?crseNumb=798,40964,Thesis Development,TBD,TBD,,,Pamela Yau
AADM,798,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41324?crseNumb=798,41324,Thesis Development,TBD,TBD,,,STAFF
AADM,798,Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41325?crseNumb=798,41325,Thesis Development,TBD,TBD,,,STAFF
AADM,798,Lecture,Online,900,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40837?crseNumb=798,40837,Thesis Development,TBD,TBD,,,Andrew W Zitcer
DANC,102,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40999?crseNumb=102,40999,Yoga,MW,09:00 am - 11:50 am,,,Jennifer S Morley
DANC,102,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41915?crseNumb=102,41915,Yoga,TR,09:00 am - 10:20 am,,,Jennifer S Morley
DANC,104,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41000?crseNumb=104,41000,Ballet Technique I,TR,09:00 am - 10:20 am,,,STAFF
DANC,105,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41001?crseNumb=105,41001,Modern Dance Technique I,TR,12:00 pm - 01:20 pm,,,STAFF
DANC,106,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41002?crseNumb=106,41002,Jazz Dance Technique I,MW,12:00 pm - 01:20 pm,,,James R Bunting
DANC,107,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41003?crseNumb=107,41003,Hip-Hop Dance Technique I,MW,09:00 am - 10:20 am,,,Dinita A Clark
DANC,107,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41916?crseNumb=107,41916,Hip-Hop Dance Technique I,TR,09:00 am - 10:20 am,,,Clyde Evans
DANC,109,Studio,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41004?crseNumb=109,41004,African Dance Technique I,MW,04:30 pm - 05:50 pm,,,Antoinette M Coward-Gilmore
DANC,131,Practice,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40168?crseNumb=131,40168,Dance Practicum in Performance,TR,01:30 pm - 02:50 pm,,,STAFF
DANC,205,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41005?crseNumb=205,41005,Modern Dance Technique II,TR,10:30 am - 11:50 am,,,STAFF
DSMR,233,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41896?crseNumb=233,41896,Branding and Retail Strategies,TR,06:00 pm - 07:20 pm,,,Joseph H Hancock
DSMR,T380,Special Topics-Lecture,Online,902,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41900?crseNumb=T380,41900,Globalization in Retail & Merc,TBD,TBD,,,Joseph H Hancock
DSMR,477,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40039?crseNumb=477,40039,Design and Merchandising Seminar,MW,09:00 am - 11:50 am,,,Rachel A Mednick
DSRE,650,Seminar,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40963?crseNumb=650,40963,Thesis Research and Practicum,W,04:00 pm - 04:50 pm,,,Dee S Nicholas
DIGM,350,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40487?crseNumb=350,40487,Digital Storytelling,R,09:30 am - 12:20 pm,,,STAFF
DIGM,350,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40517?crseNumb=350,40517,Digital Storytelling,R,03:30 pm - 06:20 pm,,,STAFF
DIGM,475,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41645?crseNumb=475,41645,Seminar: The Future of Digital Media,W,12:00 pm - 02:50 pm,,,STAFF
FASH,314,Lab,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41314?crseNumb=314,41314,Fashion Portfolio I,TR,09:30 am - 12:20 pm,,,STAFF
FASH,354,Lab,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41816?crseNumb=354,41816,Fashion Design III: Sustainable Design,TR,12:30 pm - 03:20 pm,,,STAFF
FASH,548,Lab,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/41806?crseNumb=548,41806,Fashion Design I: Fabric to Form,TR,09:30 am - 12:20 pm,,,STAFF
FASH,600,Internship/Clerkship/Preceptor,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/40170?crseNumb=600,40170,Fashion Industry Internship,TBD,TBD,,,STAFF
FMTV,185,Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/42001?crseNumb=185,42001,TV Industry,M,12:00 pm - 02:50 pm,,,STAFF
FMTV,185,Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/42002?crseNumb=185,42002,TV Industry,M,03:00 pm - 05:50 pm,,,STAFF
